"filename", "language", "JSON with Comments", "TypeScript", "JSON", "vue", "Markdown", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\components\ui\Skeleton.vue", "vue", 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\composables\useAuth.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 1, 9, 89
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\composables\useI18n.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\composables\useTrpc.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\layouts\auth.vue", "vue", 0, 0, 0, 24, 0, 0, 0, 3, 4, 31
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\layouts\default.vue", "vue", 0, 0, 0, 21, 0, 0, 0, 3, 4, 28
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\locales\en.ts", "TypeScript", 0, 382, 0, 0, 0, 0, 0, 24, 24, 430
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\locales\fr.ts", "TypeScript", 0, 382, 0, 0, 0, 0, 0, 24, 24, 430
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\middleware\admin.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 3, 15
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\middleware\auth.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\middleware\guest.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\index.vue", "vue", 0, 0, 0, 123, 0, 0, 0, 3, 8, 134
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\library.vue", "vue", 0, 0, 0, 198, 0, 0, 0, 6, 22, 226
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\settings.vue", "vue", 0, 0, 0, 151, 0, 0, 0, 7, 21, 179
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\admin\users.vue", "vue", 0, 0, 0, 283, 0, 0, 0, 4, 28, 315
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\catalog\index.vue", "vue", 0, 0, 0, 187, 0, 0, 0, 8, 22, 217
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\catalog\movie\[id].vue", "vue", 0, 0, 0, 224, 0, 0, 0, 12, 22, 258
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\app\pages\catalog\person\[id].vue", "vue", 0, 0, 0, 142, 0, 0, 0, 7, 15, 164
