"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "XML", "vue", "PostCSS", "comment", "blank", "total"
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\trpc\routers\index.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\trpc\routers\library.ts", "TypeScript", 465, 0, 0, 0, 0, 0, 0, 53, 72, 590
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\trpc\routers\media.ts", "TypeScript", 769, 0, 0, 0, 0, 0, 0, 52, 105, 926
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\trpc\routers\settings.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 9, 22, 151
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\trpc\routers\users.ts", "TypeScript", 330, 0, 0, 0, 0, 0, 0, 25, 57, 412
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\trpc\trpc.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 3, 7, 73
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\utils\consumet.ts", "TypeScript", 385, 0, 0, 0, 0, 0, 0, 34, 54, 473
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\utils\ffmpeg.ts", "TypeScript", 185, 0, 0, 0, 0, 0, 0, 22, 26, 233
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\utils\groq.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 4, 13, 81
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\utils\preferences.ts", "TypeScript", 139, 0, 0, 0, 0, 0, 0, 25, 33, 197
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\utils\tmdb.ts", "TypeScript", 318, 0, 0, 0, 0, 0, 0, 18, 44, 380
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\server\utils\transcodeSession.ts", "TypeScript", 310, 0, 0, 0, 0, 0, 0, 41, 55, 406
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\tailwind.config.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 2, 79
"c:\Users\Utilisateur\OneDrive\Documents\Développement\ProjetLucas\tsconfig.json", "JSON with Comments", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 9682, 17, 13993, 50, 4, 6440, 79, 799, 2169, 33233
